smiles,pIC50
CC(C)C(C#N)C1CN(c2ccc(N3CCN(c4cccc(-c5nncn5C(C)C)n4)C3=O)cc2)C1,7.0
CC(C)C(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccn2)n1,7.30103
CC(C)C(c1ccc(N2CCN(c3cccc(-c4nncn4C(C)C)n3)C2=O)cc1)N1CCOCC1,7.0
CC(C)CC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964
CC(C)CCOc1cccc(C2C(=C(O)c3ccc4c(c3)CC(C)O4)C(=O)C(=O)N2c2nc3ccc(F)cc3s2)c1,9.2839966563652
CC(C)CCOc1cccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2c2nc3ccc(F)cc3s2)c1,6.282
CC(C)CCn1cc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C(C)C)n2)CO3)cn1,7.73283
CC(C)CN(C)C(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1,7.25964
CC(C)CN(C)c1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c(F)cc2nc1OC(C)C,6.25964
CC(C)CN(C)c1nc2cc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)c(F)cc2nc1OC(C)C,6.0
CC(C)CN1CCc2cnc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,6.95861
CC(C)CN1CCc2cnc(C(=O)Nc3cccc(-c4nncn4[C@H](C)CO)n3)cc2C1,8.25181
CC(C)CN1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964
CC(C)COC(=O)N1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,7.25964
CC(C)COC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964
CC(C)CS(=O)(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,8.25964
CC(C)CS(=O)(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1,7.25964
CC(C)CS(=O)(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1,8.25964
CC(C)CS(=O)(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964
CC(C)Cn1cc(-c2ccc3c(c2)C(=O)N(c2cccc(-c4nncn4C(C)C)n2)CO3)cn1,7.95861
CC(C)N(C)C(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1,7.25964
CC(C)N1CCN(c2cccc(-c3cnc(-c4cccc(-c5nncn5C(C)C)n4)o3)c2)CC1,7.30103
CC(C)N1CCN(c2ccnc(NC(=O)Nc3cccc(-c4nncn4C(C)C)n3)c2)CC1,7.30103
CC(C)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nncn4[C@H](C)CO)n3)cc2C1,8.90309
CC(C)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,7.25964
CC(C)N1Cc2cc(F)c(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1=O,6.0
CC(C)N1Cc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1=O,6.0
CC(C)N1Cc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2S1(=O)=O,7.25964
CC(C)N1Cc2cc(N(C)C)c(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2S1(=O)=O,7.25964
CC(C)N1Cc2cc(OCC(F)(F)F)c(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2S1(=O)=O,6.25964
CC(C)N1Cc2ccc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2C1=O,6.25964
CC(C)N1Cc2cnc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1=O,7.25964
CC(C)N1Cc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1=O,7.25964
CC(C)NC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964
CC(C)NC(=O)c1ccc(N2CCN(c3cccc(-c4nncn4C(C)C)n3)C2=O)cn1,7.0
CC(C)NC1CN(c2ccc(N3CCN(c4cccc(-c5nncn5C(C)C)n4)C3=O)cc2)C1,7.0
CC(C)Nc1cc(C(F)(F)F)cc2nc(NC(=O)c3cccnc3)nn12,7.37675
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c(F)cc2nc1OC(C)C,7.25964
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)ccc2nc1OC(C)C,7.25964
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)c(F)cc2nc1OC(C)C,6.0
CC(C)Nc1nc2cc(C(=O)Nc3cccc(-c4nnnn4[C@@H](C)CO)n3)c(F)cc2nc1OC(C)C,6.0
CC(C)OC(=O)N1CCc2cc(F)c(C(=O)Nc3cccc(-c4nncn4[C@H](C)CO)n3)cc2C1,8.90309
CC(C)OC(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964
CC(C)OC(=O)Nc1cccc(-c2nncn2C(C)C)n1,7.827523525975717
CC(C)Oc1cc2c(cc1-c1cccnc1)C(=O)N(c1cccc(-c3nncn3C3CC3)n1)C2,6.69897
CC(C)Oc1cc2c(cc1C(=O)Nc1cccc(-c3nnnn3[C@H](C)CO)n1)S(=O)(=O)N(C(C)C)C2,7.25964
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3C(C)C)n1)C2,8.799990244482077
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3C(C)CO)n1)C2,11.299988937677888
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3[C@H](C)CO)n1)C2,8.300343333333334
CC(C)Oc1ccc2c(c1)C(=O)N(c1cccc(-c3nnnn3[C@H](C)CO)n1)C2,8.25964
CC(C)Oc1cccc(-c2cnc(-c3cccc(-c4nncn4C(C)C)n3)o2)c1,7.30103
CC(C)Oc1cnc(C(=O)Nc2cccc3c2OCCn2cnnc2-3)cc1-n1cnc(C2CC2)c1,8.23657
CC(C)Oc1cnc(C(=O)Nc2cccc3c2OCCn2nnnc2-3)cc1-n1cnc(C2CC2)c1,8.74473
CC(C)Oc1cnc(C(=O)Nc2cccc3c2OC[C@@H](C)n2nnnc2-3)cc1-n1cnc(C2CC2)c1,8.38722
CC(C)Oc1cnc(C(=O)Nc2cccc3c2OC[C@H](C)n2nnnc2-3)cc1-n1cnc(C2CC2)c1,8.27572
CC(C)Oc1cncc(-n2cc(C(=O)Nc3cccc(-c4cncn4C(C)C)n3)c(C(F)F)n2)c1,7.0
CC(C)Oc1cncc(-n2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)c(C(F)F)n2)c1,7.0
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1OC(C)C,6.25964
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2nc1N(C)C(C)C,6.0
CC(C)Oc1nc2cc(F)c(C(=O)Nc3cccc(-c4nnnn4C(C)C)n3)cc2nc1OC(C)C,6.0
CC(C)Oc1nc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1N1CCCCC1,6.0
CC(C)Oc1nc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2nc1N1CCOCC1,6.25964
CC(C)S(=O)(=O)N1CCc2cnc(C(=O)Nc3cccc(-c4nnnn4[C@H](C)CO)n3)cc2C1,8.25964
CC(C)[C@H](N)C(=O)OC[C@@H](C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C(=O)N3CCCCC3)ccn2)n1,7.30103
CC(C)[C@H](N)C(=O)OC[C@@H](C)n1cnnc1-c1cccc(NC(=O)Nc2cc3ccccc3cn2)n1,7.30103
CC(C)c1cc(N2CCN(c3cccc(-c4nncn4C(C)C)n3)C2=O)ccc1S(C)(=O)=O,6.0
CC(C)c1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]n1,6.41
CC(C)c1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)n[nH]1,9.405607449624574
CC(C)c1cc2ncn(-c3cccc(-c4nncn4C(C)C)n3)c(=O)c2cc1-n1cnc(C2CC2)c1,7.30103
CC(C)c1ccc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)nc1,7.30103
CC(C)c1ccnc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)c1,7.30103
CC(C)c1cn(-c2ccnc(C(=O)Nc3cccc(-c4nncn4C4CC4)c3)c2)cn1,5.20066
CC(C)c1nnnn1-c1cccc(N2Cc3ccc(-c4cccnc4)cc3C2=O)n1,7.25964
CC(C)c1nnnn1-c1cccc(N2Cc3ccc(-n4cnc(C5CC5)c4)cc3C2=O)n1,8.25964
CC(C)c1nnnn1-c1cccc(N2Cc3ccc(N4CCOCC4)cc3C2=O)n1,6.25964
